caption_clean,image+caption_target,political_leaning,likes,retweet_count,comment_count,view_count,poster_follower_count,poster_frequency,total_posts,mentions,hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,topic_label,image_filename,comment_file,Post ID,URL to tweet,creation_date,poster_handle,poster_display_name
#TrumpIsUnfitForOffice #ArlingtonNationalCemetery ,anti-trump,D,29,18,5,1793,2613,5.376404494382022,30624,,"#TrumpIsUnfitForOffice, #ArlingtonNationalCemetery",,0.0,1.0,0.0,0.0,[],[],[],[],[],Politcal Social Network,Twitter_Scrape\Target_Trump\Anti\Images\eat_on_grave.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\eat_on_grave.csv,1828837775791341997,https://x.com/JimmyMatthewsJr/status/1828837775791341997,Wed Aug 28 16:51:18 +0000 2024,JimmyMatthewsJr,Jimmy Matthews
 I would not be surprised if he did this before he left. #TrumpIsUnfitForOffice ,anti-trump,D,21,5,1,863,2613,5.376404494382022,30624,@thedesertginger,#TrumpIsUnfitForOffice,,0.0,0.868,0.132,-0.1695,[],[],[],[],[],Politcal Social Network,Twitter_Scrape\Target_Trump\Anti\Images\veteran_graves.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\veteran_graves.csv,1828607916892422511,https://x.com/JimmyMatthewsJr/status/1828607916892422511,Wed Aug 28 01:37:55 +0000 2024,JimmyMatthewsJr,Jimmy Matthews
"Respect marriage. Donald Trump and Where's Melania always show what a perfect marriage looks like. Bret Baier, Bill Barr, Ann Coulter, and RFK Jr. all agree 100%. With everything Trump says, no matter what. 🇺🇸 #TrumpIsDone #KamalaHarris #Kamala4President2024 #TheCrow📷 ",anti-trump,D,1,2,2,1108,955,26.451581027667984,26769,,"#TrumpIsDone, #KamalaHarris, #Kamala4President2024, #TheCrow📷",,0.274,0.679,0.047,0.8658,"['Donald Trump', 'Bret Baier', 'Bill Barr', 'Ann Coulter', 'Trump', 'TheCrow📷']","['Respect', 'RFK']",['Melania'],[],[],Voter readiness and mobilization,Twitter_Scrape\Target_Trump\Anti\Images\trump_beat.jpg,,1826979750856049026,https://x.com/TheVladsven/status/1826979750856049026,Fri Aug 23 13:48:10 +0000 2024,TheVladsven,Darth VladSven the Cat VI
Pray for Trump. He longs for North Korea and his tub buddy. 🇺🇸#trumpmeltdown #trumprally #Kamala2024 ,anti-trump,D,19,3,4,3808,955,26.451581027667984,26769,,"#trumprally, #Kamala2024",,0.141,0.859,0.0,0.3182,[],[],['North Korea'],[],[],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_nk.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\trump_nk.csv,1822071851960692972,https://x.com/TheVladsven/status/1822071851960692972,Sat Aug 10 00:45:56 +0000 2024,TheVladsven,Darth VladSven the Cat VI
Pray for Trump. He joined Hamas. 🇺🇸 #trumpmeltdown #trumprally #Kamala2024 ,anti-trump,D,8,2,2,2869,955,26.451581027667984,26769,,"#trumprally, #Kamala2024",,0.204,0.796,0.0,0.3182,[],['Hamas'],[],[],['🇺'],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\foreign_meet.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\foreign_meet.csv,1822069995565883579,https://x.com/TheVladsven/status/1822069995565883579,Sat Aug 10 00:38:34 +0000 2024,TheVladsven,Darth VladSven the Cat VI
#KamalaWinswithJoy ,anti-trump,D,2,0,0,58,5168,63.658373205741626,66523,,#KamalaWinswithJoy,,0.0,1.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_epstine.jpg,,1828212669670629624,https://x.com/Bloomer99999/status/1828212669670629624,Mon Aug 26 23:27:21 +0000 2024,Bloomer99999,Nabster 💙🇺🇸🦅🇺🇸💙
" Trump has used everyone around him for his personal gains. Values, Purpose, Sacrifice mean nothing to him. #TrumpIsUnfitForOffice #VeteransForHarrisWalz #Vete ",anti-trump,D,17,11,3,898,397,1.938092229943146,3068,@VetsForRL,"#TrumpIsUnfitForOffice, #VeteransForHarrisWalz, #Vete",,0.221,0.779,0.0,0.6249,[],"['Trump', 'Purpose', 'Sacrifice']",[],[],[],Politcal Social Network,Twitter_Scrape\Target_Trump\Anti\Images\trump_graves.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\trump_graves.csv,1828060378711945505,https://x.com/EmilyMach5/status/1828060378711945505,Mon Aug 26 13:22:12 +0000 2024,EmilyMach5,Emily Mach
 ,anti-harris,R,10,5,6,9438,2476,14.871070433744528,37371,@ZionDarkwood @SteveLovesAmmo,,,0.0,0.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\setup.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\setup.csv,1813345368484073626,https://x.com/ScottWIsAnIdiot/status/1813345368484073626,Tue Jul 16 22:50:00 +0000 2024,ScottWIsAnIdiot,Scott Walker is An Idiot
 #TrumpDishonorsUS #TrumpIsUnfitForOffice Let's bury the guy with our votes this November. ,anti-trump,D,54,10,1,1216,397,1.938092229943146,3068,@SteveSchmidtSES,"#TrumpDishonorsUS, #TrumpIsUnfitForOffice",,0.0,1.0,0.0,0.0,[],[],[],[],['this November'],Politcal Social Network,Twitter_Scrape\Target_Trump\Anti\Images\trump_gravestone.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\trump_gravestone.csv,1829862469894058286,https://x.com/EmilyMach5/status/1829862469894058286,Sat Aug 31 12:43:04 +0000 2024,EmilyMach5,Emily Mach
Cop vs the felon. 😂 ,anti-trump,D,56668,7448,1546,1981822,283007,18.04985754985755,38013,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_arrest.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\trump_arrest.csv,1823835478480605640,https://x.com/acnewsitics/status/1823835478480605640,Wed Aug 14 21:33:57 +0000 2024,acnewsitics,Alex Cole
